Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role,Notes
Command Deck: The Coalition,1,Mech Command Ship,"You may scrap up to two cards from your hand and/or discard pile. Gain {3 Authority} for each card scrapped this way.
<hr>
{Coalition Ally (Machine Cult or Trade Federation)}: Draw a card. You may destroy target base.",Ship,Machine Cult / Trade Federation,8,,Trade Deck,
Command Deck: The Coalition,1,Cargo Boat,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: {Gain 2 Authority}",Ship,Trade Federation,,,Trade Deck,"<a href=""https://www.starrealms.com/faq/#errata"">Errata</a> - This card's secondary ability is a Trade Federation ally ability."
Command Deck: The Coalition,1,Federation Scout,"{Gain 1 Trade}
<hr>
{Trade Federation Ally}: The next {Trade Federation} card you acquire this turn costs {1 Trade} less.",Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Frontier Tug,"{Gain 2 Trade}
<hr>
{Trade Federation Ally}: Shuffle the next base you acquire this turn into your deck.",Ship,Trade Federation,,,Trade Deck,
Command Deck: The Coalition,1,Laser Drone,"{Gain 2 Combat}
<hr>
{Machine Cult Ally}: {Gain 1 Combat}
<hr>
{Double Machine Cult Ally}: {Gain 2 Combat}",Ship,Machine Cult,,,Trade Deck,
Command Deck: The Coalition,1,Ranger,{Gain 1 Trade} OR {Gain 2 Combat},Ship,,,,Trade Deck,
Command Deck: The Coalition,1,Salvage Drone,"{Gain 1 Trade}
OR scrap a card in your hand or discard pile.",Ship,Machine Cult,,,Trade Deck,
Command Deck: The Coalition,4,Scout,{Gain 1 Trade},Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Viper,{Gain 1 Combat},Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Viper Bot,"{Gain 2 Combat}
<hr>
{Machine Cult Ally}: If you’ve scrapped a card from your hand or discard pile this turn, gain {3 Combat}",Ship,Unaligned,,,Trade Deck,
Command Deck: The Coalition,1,Valken’s Enterprise | Coalition Stronghold,"{Scrap}: Flip this gambit over and put it into play as a base.
|
{Gain 2 Combat} OR {Gain 2 Authority}
If this base would leave play, scrap it instead.",Gambit | Base,,,| 6 Outpost,Gambit | Token,
Command Deck: The Coalition,1,Coalition Efficiency | Rules (Part 1 of 2),"Once per turn, if you would scrap a card in your hand or discard pile, you may choose to gain {5 Authority} instead.",Gambit | Rules,,,,Gambit | Rules,
Command Deck: The Coalition,1,High Director Valken | Rules (Part 2 of 2),"<i>(Hand Size: 6, Starting Authority: 62)</i>",Legendary Commander,,,,Commander | Rules,
Command Deck: The Coalition,1,Scorecard (40-70) | Scorecard (00-30),,,,,,Scorecard,
Command Deck: The Coalition,1,Scorecard (00-09) | Scorecard (80-89),,,,,,Scorecard,
